Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Revenue
2022-01-01T00:00:00.000-08:00,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,1398.0
2022-01-01T00:00:00.000-08:00,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,1831.2
2022-01-01T00:00:00.000-08:00,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,450.06
2022-01-01T00:00:00.000-08:00,S002,P0019,Toys,East,67,15,186,34.38,84.99,5,Sunny,1,81.02,Winter,1274.85
2022-01-01T00:00:00.000-08:00,S003,P0013,Furniture,North,51,17,172,12.86,73.98,20,Cloudy,1,76.65,Summer,1257.66
2022-01-01T00:00:00.000-08:00,S004,P0009,Furniture,North,63,40,73,51.78,59.23,10,Rainy,1,61.1,Summer,2369.2
2022-01-01T00:00:00.000-08:00,S005,P0010,Clothing,East,87,8,141,14.38,37.04,10,Rainy,1,36.87,Summer,296.32
2022-01-01T00:00:00.000-08:00,S005,P0016,Clothing,South,71,11,32,1.85,16.3,5,Sunny,0,17.98,Winter,179.3
2022-01-02T00:00:00.000-08:00,S001,P0008,Clothing,East,92,74,121,67.04,58.89,5,Cloudy,0,61.56,Autumn,4357.86
2022-01-02T00:00:00.000-08:00,S001,P0009,Toys,South,99,54,182,70.6,99.76,20,Cloudy,0,95.61,Spring,5387.04
2022-01-02T00:00:00.000-08:00,S001,P0014,Electronics,West,84,25,20,23.36,31.41,0,Cloudy,1,28.6,Spring,785.25
2022-01-02T00:00:00.000-08:00,S002,P0005,Groceries,North,93,64,128,57.53,87.22,5,Cloudy,1,90.59,Spring,5582.08
2022-01-02T00:00:00.000-08:00,S003,P0019,Furniture,North,59,50,135,44.37,59.33,10,Cloudy,0,54.98,Spring,2966.5
2022-01-02T00:00:00.000-08:00,S004,P0005,Toys,West,99,4,76,14.91,60.89,5,Sunny,0,59.42,Autumn,243.56
2022-01-02T00:00:00.000-08:00,S004,P0006,Toys,East,97,47,138,52.02,14.71,5,Cloudy,0,16.85,Autumn,691.37
2022-01-02T00:00:00.000-08:00,S005,P0006,Clothing,North,76,54,175,49.32,69.21,15,Rainy,1,71.17,Summer,3737.34
